,word,pos,definition
89137,Light,superl,"Having light; not dark or obscure; bright; clear; as, the apartment is light."
89138,Light,superl,"White or whitish; not intense or very marked; not of a deep shade; moderately colored; as, a light color; a light brown; a light complexion."
89142,Light,n.,"To set fire to; to cause to burn; to set burning; to ignite; to kindle; as, to light a candle or lamp; to light the gas; -- sometimes with up."
89143,Light,n.,To give light to; to illuminate; to fill with light; to spread over with light; -- often with up.
89144,Light,n.,To attend or conduct with a light; to show the way to by means of a light.
89145,Light,v. i.,"To become ignited; to take fire; as, the match will not light."
89146,Light,v. i.,"To be illuminated; to receive light; to brighten; -- with up; as, the room lights up very well."
89147,Light,superl.,"Having little, or comparatively little, weight; not tending to the center of gravity with force; not heavy."
89148,Light,superl.,"Not burdensome; easy to be lifted, borne, or carried by physical strength; as, a light burden, or load."
89149,Light,superl.,"Easy to be endured or performed; not severe; not difficult; as, a light affliction or task."
89150,Light,superl.,"Easy to be digested; not oppressive to the stomach; as, light food; also, containing little nutriment."
89151,Light,superl.,"Not heavily armed; armed with light weapons; as, light troops; a troop of light horse."
89152,Light,superl.,"Not encumbered; unembarrassed; clear of impediments; hence, active; nimble; swift."
89153,Light,superl.,"Not heavily burdened; not deeply laden; not sufficiently ballasted; as, the ship returned light."
89154,Light,superl.,"Slight; not important; as, a light error."
89155,Light,superl.,"Well leavened; not heavy; as, light bread."
89156,Light,superl.,"Not copious or heavy; not dense; not inconsiderable; as, a light rain; a light snow; light vapors."
89157,Light,superl.,"Not strong or violent; moderate; as, a light wind."
89158,Light,superl.,"Not pressing heavily or hard upon; hence, having an easy, graceful manner; delicate; as, a light touch; a light style of execution."
89159,Light,superl.,"Easy to admit influence; inconsiderate; easily influenced by trifling considerations; unsteady; unsettled; volatile; as, a light, vain person; a light mind."
89160,Light,superl.,"Indulging in, or inclined to, levity; wanting dignity or solemnity; trifling; gay; frivolous; airy; unsubstantial."
89161,Light,superl.,Not quite sound or normal; somewhat impaired or deranged; dizzy; giddy.
89162,Light,superl.,Easily bestowed; inconsiderately rendered.
89163,Light,superl.,"Wanton; unchaste; as, a woman of light character."
89164,Light,superl.,"Not of the legal, standard, or usual weight; clipped; diminished; as, light coin."
89165,Light,superl.,"Loose; sandy; easily pulverized; as, a light soil."
89166,Light,adv.,Lightly; cheaply.
89167,Light,v. t.,To lighten; to ease of a burden; to take off.
89171,Light,v. i.,"To dismount; to descend, as from a horse or carriage; to alight; -- with from, off, on, upon, at, in."
89172,Light,v. i.,To feel light; to be made happy.
89173,Light,v. i.,"To descend from flight, and rest, perch, or settle, as a bird or insect."
89174,Light,v. i.,To come down suddenly and forcibly; to fall; -- with on or upon.
89175,Light,v. i.,To come by chance; to happen; -- with on or upon; formerly with into.
89295,Liked,imp. & p. p.,of Like
89319,Liken,a.,"To allege, or think, to be like; to represent as like; to compare; as, to liken life to a pilgrimage."
89320,Liken,a.,To make or cause to be like.
89332,Lilac,n.,"A shrub of the genus Syringa. There are six species, natives of Europe and Asia.  Syringa vulgaris, the common lilac, and S. Persica, the Persian lilac, are frequently cultivated for the fragrance and beauty of their purplish or white flowers. In the British colonies various other shrubs have this name."
89333,Lilac,n.,A light purplish color like that of the flower of the purplish lilac.
89363,Liman,n.,The deposit of slime at the mouth of a river; slime.
89367,Limax,n.,"A genus of airbreathing mollusks, including the common garden slugs. They have a small rudimentary shell. The breathing pore is on the right side of the neck. Several species are troublesome in gardens. See Slug."
89394,Limbo,n.,Alt. of Limbus
89404,Limed,imp. & p. p.,of Lime
89414,Limer,n.,A limehound; a limmer.
89422,Limit,v. t.,"That which terminates, circumscribes, restrains, or confines; the bound, border, or edge; the utmost extent; as, the limit of a walk, of a town, of a country; the limits of human knowledge or endeavor."
89423,Limit,v. t.,The space or thing defined by limits.
89424,Limit,v. t.,"That which terminates a period of time; hence, the period itself; the full time or extent."
89425,Limit,v. t.,A restriction; a check; a curb; a hindrance.
89426,Limit,v. t.,A determining feature; a distinguishing characteristic; a differentia.
89427,Limit,v. t.,"A determinate quantity, to which a variable one continually approaches, and may differ from it by less than any given difference, but to which, under the law of variation, the variable can never become exactly equivalent."
89430,Limit,v. t.,"To apply a limit to, or set a limit for; to terminate, circumscribe, or restrict, by a limit or limits; as, to limit the acreage of a crop; to limit the issue of paper money; to limit one's ambitions or aspirations; to limit the meaning of a word."
89431,Limit,v. i.,"To beg, or to exercise functions, within a certain limited region; as, a limiting friar."
89438,-ries,pl. ,of Limitary
89499,Limsy,a.,Limp; flexible; flimsy.
89516,Linch,n.,A ledge; a right-angled projection.
89529,Lined,imp. & p. p.,of Line
89595,Linen,n.,"Made of linen; as, linen cloth; a linen stocking."
89596,Linen,n.,Resembling linen cloth; white; pale.
89597,Linen,n.,"Thread or cloth made of flax or (rarely) of hemp; -- used in a general sense to include cambric, shirting, sheeting, towels, tablecloths, etc."
89598,Linen,n.,"Underclothing, esp. the shirt, as being, in former times, chiefly made of linen."
89602,Liner,n.,"One who lines, as, a liner of shoes."
89603,Liner,n.,"A vessel belonging to a regular line of packets; also, a line-of-battle ship; a ship of the line."
89604,Liner,n.,"A thin piece placed between two parts to hold or adjust them, fill a space, etc.; a shim."
89605,Liner,n.,"A lining within the cylinder, in which the piston works and between which and the outer shell of the cylinder a space is left to form a steam jacket."
89606,Liner,n.,"A slab on which small pieces of marble, tile, etc., are fastened for grinding."
89607,Liner,n.,"A ball which, when struck, flies through the air in a nearly straight line not far from the ground."
89608,-ling,,"A noun suffix, commonly having a diminutive or a depreciatory force; as in duckling, gosling, hireling, fosterling, firstling, underling."
89609,-ling,,"An adverbial suffix; as, darkling, flatling."
89615,Linga,n.,Alt. of Lingam
89633,Lingo,n.,Language; speech; dialect.
89689,Linne,n.,Flax. See Linen.
89709,Linum,n.,A genus of herbaceous plants including the flax (Linum usitatissimum).
89751,Lipic,a.,"Pertaining to, or derived from, fat. The word was formerly used specifically to designate a supposed acid obtained by the oxidation of oleic acid, tallow, wax, etc."
89767,Lipse,v. i.,To lisp.
89768,Lipyl,n.,A hypothetical radical of glycerin.
89837,Lisle,n.,A city of France celebrated for certain manufactures.
89838,Lisne,n.,A cavity or hollow.
89905,Liter,n.,Alt. of Litre
89906,Litre,n.,"A measure of capacity in the metric system, being a cubic decimeter, equal to 61.022 cubic inches, or 2.113 American pints, or 1.76 English pints."
89942,-lith,,Alt. of -lite
89943,-lite,,Combining forms fr. Gr. li`qos a stone; -- used chiefly in naming minerals and rocks.
89951,Lithe,v. i. & i.,To listen or listen to; to hearken to.
89952,Lithe,a.,"Mild; calm; as, lithe weather."
89953,Lithe,a.,"Capable of being easily bent; pliant; flexible; limber; as, the elephant's lithe proboscis."
89954,Lithe,a.,To smooth; to soften; to palliate.
89968,Litho,,"A combining form from Gr. li`qos, stone."
90049,Lithy,a.,Easily bent; pliable.
90067,Litre,n.,Same as Liter.
90111,Litui,pl. ,of Lituus
90117,Lived,imp. & p. p.,of Live
90136,Lived,a.,"Having life; -- used only in composition; as, long-lived; short-lived."
90155,Liver,n.,"One who, or that which, lives."
90156,Liver,n.,"A resident; a dweller; as, a liver in Brooklyn."
90157,Liver,n.,"One whose course of life has some marked characteristic (expressed by an adjective); as, a free liver."
90158,Liver,n.,A very large glandular and vascular organ in the visceral cavity of all vertebrates.
90159,Liver,n.,The glossy ibis (Ibis falcinellus); -- said to have given its name to the city of Liverpool.
90187,Lives,n.,pl. of Life.
90188,Lives,a. & adv.,Alive; living; with life.
90189,Livid,a.,"Black and blue; grayish blue; of a lead color; discolored, as flesh by contusion."
90206,Livor,n.,Malignity.
90208,Livre,n.,"A French money of account, afterward a silver coin equal to 20 sous. It is not now in use, having been superseded by the franc."
90227,Llama,n.,"A South American ruminant (Auchenia llama), allied to the camels, but much smaller and without a hump. It is supposed to be a domesticated variety of the guanaco. It was formerly much used as a beast of burden in the Andes."
90231,Llano,n.,An extensive plain with or without vegetation.
90235,Loach,n.,"Any one of several small, fresh-water, cyprinoid fishes of the genera Cobitis, Nemachilus, and allied genera, having six or more barbules around the mouth. They are found in Europe and Asia. The common European species (N. barbatulus) is used as a food fish."
90271,Loamy,a.,Consisting of loam; partaking of the nature of loam; resembling loam.
90282,Loath,a.,Hateful; odious; disliked.
90283,Loath,a.,"Filled with disgust or aversion; averse; unwilling; reluctant; as, loath to part."
90309,Lobar,a.,"Of or pertaining to a lobe; characterized by, or like, a lobe or lobes."
90317,Lobby,n.,"A passage or hall of communication, especially when large enough to serve also as a waiting room. It differs from an antechamber in that a lobby communicates between several rooms, an antechamber to one only; but this distinction is not carefully preserved."
90318,Lobby,n.,"That part of a hall of legislation not appropriated to the official use of the assembly; hence, the persons, collectively, who frequent such a place to transact business with the legislators; any persons, not members of a legislative body, who strive to influence its proceedings by personal agency."
90319,Lobby,n.,An apartment or passageway in the fore part of an old-fashioned cabin under the quarter-deck.
90320,Lobby,n.,"A confined place for cattle, formed by hedges. trees, or other fencing, near the farmyard."
90323,Lobby,v. i.,"To address or solicit members of a legislative body in the lobby or elsewhere, with the purpose to influence their votes."
90324,Lobby,v. t.,"To urge the adoption or passage of by soliciting members of a legislative body; as, to lobby a bill."
90332,Lobed,a.,Having lobes; lobate.
90353,Local,a.,"Of or pertaining to a particular place, or to a definite region or portion of space; restricted to one place or region; as, a local custom."
90354,Local,n.,A train which receives and deposits passengers or freight along the line of the road; a train for the accommodation of a certain district.
90355,Local,n.,"On newspaper cant, an item of news relating to the place where the paper is published."
90391,Loche,n.,See Loach.
90434,Locky,a.,Having locks or tufts.
90460,Locus,n.,A place; a locality.
90461,Locus,n.,The line traced by a point which varies its position according to some determinate law; the surface described by a point or line that moves according to a given law.
90471,Lodde,n.,The capelin.
90479,Lodge,n.,"A shelter in which one may rest; as: (a) A shed; a rude cabin; a hut; as, an Indian's lodge."
90480,Lodge,n.,"A small dwelling house, as for a gamekeeper or gatekeeper of an estate."
90481,Lodge,n.,A den or cave.
90482,Lodge,n.,"The meeting room of an association; hence, the regularly constituted body of members which meets there; as, a masonic lodge."
90483,Lodge,n.,"The chamber of an abbot, prior, or head of a college."
90484,Lodge,n.,"The space at the mouth of a level next the shaft, widened to permit wagons to pass, or ore to be deposited for hoisting; -- called also platt."
90485,Lodge,n.,A collection of objects lodged together.
90486,Lodge,n.,"A family of North American Indians, or the persons who usually occupy an Indian lodge, -- as a unit of enumeration, reckoned from four to six persons; as, the tribe consists of about two hundred lodges, that is, of about a thousand individuals."
90489,Lodge,v. i.,"To rest or remain a lodge house, or other shelter; to rest; to stay; to abide; esp., to sleep at night; as, to lodge in York Street."
90490,Lodge,v. i.,"To fall or lie down, as grass or grain, when overgrown or beaten down by the wind."
90491,Lodge,v. i.,"To come to a rest; to stop and remain; as, the bullet lodged in the bark of a tree."
90492,Lodge,n.,"To give shelter or rest to; especially, to furnish a sleeping place for; to harbor; to shelter; hence, to receive; to hold."
90493,Lodge,n.,To drive to shelter; to track to covert.
90494,Lodge,n.,"To deposit for keeping or preservation; as, the men lodged their arms in the arsenal."
90495,Lodge,n.,To cause to stop or rest in; to implant.
90496,Lodge,n.,To lay down; to prostrate.
90511,Loess,n.,"A quaternary deposit, usually consisting of a fine yellowish earth, on the banks of the Rhine and other large rivers."
90513,Loffe,v. i.,To laugh.
90521,Lofty,superl.,Lifted high up; having great height; towering; high.
90522,Lofty,superl.,"Fig.: Elevated in character, rank, dignity, spirit, bearing, language, etc.; exalted; noble; stately; characterized by pride; haughty."
90534,Logan,n.,A rocking or balanced stone.
90549,Logge,n. & v.,See Lodge.
90561,Logic,n.,"The science or art of exact reasoning, or of pure and formal thought, or of the laws according to which the processes of pure thinking should be conducted; the science of the formation and application of general notions; the science of generalization, judgment, classification, reasoning, and systematic arrangement; correct reasoning."
90562,Logic,n.,"A treatise on logic; as, Mill's Logic."
90591,Logos,n.,A word; reason; speech.
90592,Logos,n.,The divine Word; Christ.
90601,-logy,,"A combining form denoting a discourse, treatise, doctrine, theory, science; as, theology, geology, biology, mineralogy."
90616,Locao,n.,A green vegetable dye imported from China.
90703,Longe,n.,A thrust. See Lunge.
90704,Longe,n.,The training ground for a horse.
90705,Longe,n.,Same as 4th Lunge.
90777,Looed,imp. & p. p.,of Loo
90784,Looby,n.,"An awkward, clumsy fellow; a lubber."
90785,Looch,n.,See 2d Loch.
90830,Loony,a.,See Luny.
90851,Loord,n.,"A dull, stupid fellow; a drone."
90853,Loose,superl.,"Unbound; untied; unsewed; not attached, fastened, fixed, or confined; as, the loose sheets of a book."
90854,Loose,superl.,"Free from constraint or obligation; not bound by duty, habit, etc. ; -- with from or of."
90855,Loose,superl.,"Not tight or close; as, a loose garment."
90856,Loose,superl.,"Not dense, close, compact, or crowded; as, a cloth of loose texture."
90857,Loose,superl.,"Not precise or exact; vague; indeterminate; as, a loose style, or way of reasoning."
90858,Loose,superl.,Not strict in matters of morality; not rigid according to some standard of right.
90859,Loose,superl.,Unconnected; rambling.
90860,Loose,superl.,Lax; not costive; having lax bowels.
90861,Loose,superl.,"Dissolute; unchaste; as, a loose man or woman."
90862,Loose,superl.,"Containing or consisting of obscene or unchaste language; as, a loose epistle."
90863,Loose,n.,Freedom from restraint.
90864,Loose,n.,A letting go; discharge.
90867,Loose,a.,To untie or unbind; to free from any fastening; to remove the shackles or fastenings of; to set free; to relieve.
90868,Loose,a.,"To release from anything obligatory or burdensome; to disengage; hence, to absolve; to remit."
90869,Loose,a.,To relax; to loosen; to make less strict.
90870,Loose,a.,To solve; to interpret.
90871,Loose,v. i.,To set sail.
90901,Loped,imp. & p. p.,of Lope
90909,Loper,n.,"One who, or that which, lopes; esp., a horse that lopes."
90910,Loper,n.,"A swivel at one end of a ropewalk, used in laying the strands."
90928,Loppy,a.,Somewhat lop; inclined to lop.
90939,Loral,n.,Of or pertaining to the lores.
90979,Loral,a.,"Of or pertaining to the lore; -- said of certain feathers of birds, scales of reptiles, etc."
90980,Lorel,n.,A good for nothing fellow; a vagabond.
90981,Loren,obs. strong p. p.,of Lose.
91005,Loris,n.,"Any one of several species of small lemurs of the genus Stenops. They have long, slender limbs and large eyes, and are arboreal in their habits. The slender loris (S. gracilis), of Ceylon, in one of the best known species."
91010,Lorry,n.,"A small cart or wagon, as those used on the tramways in mines to carry coal or rubbish; also, a barrow or truck for shifting baggage, as at railway stations."
91027,Losel,n.,One who loses by sloth or neglect; a worthless person; a lorel.
91028,Losel,a.,Wasteful; slothful.
91031,Loser,n.,One who loses.
91075,Lotos,n.,See Lotus.
91079,Lotto,n.,"A game of chance, played with cards, on which are inscribed numbers, and any contrivance (as a wheel containing numbered balls) for determining a set of numbers by chance. The player holding a card having on it the set of numbers drawn from the wheel takes the stakes after a certain percentage of them has been deducted for the dealer. A variety of lotto is called keno."
91081,Lotus,n.,"A name of several kinds of water lilies; as Nelumbium speciosum, used in religious ceremonies, anciently in Egypt, and to this day in Asia; Nelumbium luteum, the American lotus; and Nymphaea Lotus and N. caerulea, the respectively white-flowered and blue-flowered lotus of modern Egypt, which, with Nelumbium speciosum, are figured on its ancient monuments."
91082,Lotus,n.,"The lotus of the lotuseaters, probably a tree found in Northern Africa, Sicily, Portugal, and Spain (Zizyphus Lotus), the fruit of which is mildly sweet. It was fabled by the ancients to make strangers who ate of it forget their native country, or lose all desire to return to it."
91083,Lotus,n.,"The lote, or nettle tree. See Lote."
91084,Lotus,n.,A genus (Lotus) of leguminous plants much resembling clover.
91085,Lotus,n.,"An ornament much used in Egyptian architecture, generally asserted to have been suggested by the Egyptian water lily."
91099,Lough,n.,A loch or lake; -- so spelt in Ireland.
91100,Lough,obs. strong imp.,of Laugh.
91113,Loups,n. pl.,"The Pawnees, a tribe of North American Indians whose principal totem was the wolf."
91115,Louri,n.,See Lory.
91117,Louse,n.,"Any one of numerous species of small, wingless, suctorial, parasitic insects belonging to a tribe (Pediculina), now usually regarded as degraded Hemiptera. To this group belong of the lice of man and other mammals; as, the head louse of man (Pediculus capitis), the body louse (P. vestimenti), and the crab louse (Phthirius pubis), and many others. See Crab louse, Dog louse, Cattle louse, etc., under Crab, Dog, etc."
91118,Louse,n.,"Any one of numerous small mandibulate insects, mostly parasitic on birds, and feeding on the feathers. They are known as Mallophaga, or bird lice, though some occur on the hair of mammals. They are usually regarded as degraded Pseudoneuroptera. See Mallophaga."
91119,Louse,n.,"Any one of the numerous species of aphids, or plant lice. See Aphid."
91120,Louse,n.,"Any small crustacean parasitic on fishes. See Branchiura, and Ichthvophthira."
91121,Louse,v. t.,To clean from lice.
91125,Lousy,a.,Infested with lice.
91126,Lousy,a.,"Mean; contemptible; as, lousy knave."
91146,Loved,imp. & p. p.,of Love
91154,Lovee,n.,One who is loved.
91169,Lover,n.,"One who loves; one who is in love; -- usually limited, in the singular, to a person of the male sex."
91170,Lover,n.,"A friend; one strongly attached to another; one who greatly desires the welfare of any person or thing; as, a lover of his country."
91171,Lover,n.,"One who has a strong liking for anything, as books, science, or music."
91172,Lover,n.,Alt. of Lovery
91186,Lowed,imp. & p. p.,of Low
91232,Lower,a.,"Compar. of Low, a."
91235,Lower,a.,"To let descend by its own weight, as something suspended; to let down; as, to lower a bucket into a well; to lower a sail or a boat; sometimes, to pull down; as, to lower a flag."
91236,Lower,a.,"To reduce the height of; as, to lower a fence or wall; to lower a chimney or turret."
91237,Lower,a.,"To depress as to direction; as, to lower the aim of a gun; to make less elevated as to object; as, to lower one's ambition, aspirations, or hopes."
91238,Lower,a.,"To reduce the degree, intensity, strength, etc., of; as, to lower the temperature of anything; to lower one's vitality; to lower distilled liquors."
91239,Lower,a.,"To bring down; to humble; as, to lower one's pride."
91240,Lower,a.,"To reduce in value, amount, etc. ; as, to lower the price of goods, the rate of interest, etc."
91241,Lower,v. i.,"To fall; to sink; to grow less; to diminish; to decrease; as, the river lowered as rapidly as it rose."
91244,Lower,v. i.,"To be dark, gloomy, and threatening, as clouds; to be covered with dark and threatening clouds, as the sky; to show threatening signs of approach, as a tempest."
91245,Lower,v. i.,To frown; to look sullen.
91246,Lower,n.,Cloudiness; gloominess.
91247,Lower,n.,A frowning; sullenness.
91253,Lowgh,,Alt. of Lowh
91266,Lowly,a.,Not high; not elevated in place; low.
91267,Lowly,a.,Low in rank or social importance.
91268,Lowly,a.,Not lofty or sublime; humble.
91269,Lowly,a.,Having a low esteem of one's own worth; humble; meek; free from pride.
91270,Lowly,adv.,In a low manner; humbly; meekly; modestly.
91271,Lowly,adv.,In a low condition; meanly.
91278,Lowry,n.,An open box car used on railroads. Compare Lorry.
91287,Loyal,a.,Faithful to law; upholding the lawful authority; faithful and true to the lawful government; faithful to the prince or sovereign to whom one is subject; unswerving in allegiance.
91288,Loyal,a.,"True to any person or persons to whom one owes fidelity, especially as a wife to her husband, lovers to each other, and friend to friend; constant; faithful to a cause or a principle."
91340,Lucid,n.,"Shining; bright; resplendent; as, the lucid orbs of heaven."
91341,Lucid,n.,Clear; transparent.
91342,Lucid,n.,Presenting a clear view; easily understood; clear.
91343,Lucid,n.,"Bright with the radiance of intellect; not darkened or confused by delirium or madness; marked by the regular operations of reason; as, a lucid interval."
91365,Lucky,superl.,"Favored by luck; fortunate; meeting with good success or good fortune; -- said of persons; as, a lucky adventurer."
91366,Lucky,superl.,"Producing, or resulting in, good by chance, or unexpectedly; favorable; auspicious; fortunate; as, a lucky mistake; a lucky cast; a lucky hour."
91371,Lucre,n.,Gain in money or goods; profit; riches; -- often in an ill sense.
91499,Lumpy,superl.,"Full of lumps, or small compact masses."
91505,Lunar,a.,"Of or pertaining to the moon; as, lunar observations."
91506,Lunar,a.,Resembling the moon; orbed.
91507,Lunar,a.,"Measured by the revolutions of the moon; as, a lunar month."
91508,Lunar,a.,"Influenced by the moon, as in growth, character, or properties; as, lunar herbs."
91509,Lunar,n.,A lunar distance.
91510,Lunar,n.,"The middle bone of the proximal series of the carpus; -- called also semilunar, and intermedium."
91521,Lunch,n.,"A luncheon; specifically, a light repast between breakfast and dinner."
91524,Lunch,v. i.,To take luncheon.
91531,Lunet,n.,A little moon or satellite.
91539,Lunge,n.,"A sudden thrust or pass, as with a sword."
91542,Lunge,v. i.,To make a lunge.
91543,Lunge,v. t.,"To cause to go round in a ring, as a horse, while holding his halter."
91544,Lunge,n.,Same as Namaycush.
91585,Lupus,n.,A cutaneous disease occurring under two distinct forms.
91586,Lupus,n.,"The Wolf, a constellation situated south of Scorpio."
91588,Lurch,v. i.,"To swallow or eat greedily; to devour; hence, to swallow up."
91589,Lurch,n.,An old game played with dice and counters; a variety of the game of tables.
91590,Lurch,n.,A double score in cribbage for the winner when his adversary has been left in the lurch.
91591,Lurch,v. t.,To leave in the lurch; to cheat.
91592,Lurch,v. t.,To steal; to rob.
91593,Lurch,n.,"A sudden roll of a ship to one side, as in heavy weather; hence, a swaying or staggering movement to one side, as that by a drunken man. Fig.: A sudden and capricious inclination of the mind."
91596,Lurch,v. i.,"To roll or sway suddenly to one side, as a ship or a drunken man."
91597,Lurch,v. i.,"To withdraw to one side, or to a private place; to lurk."
91598,Lurch,v. i.,To dodge; to shift; to play tricks.
91608,Lured,imp. & p. p.,of Lure
91613,Lurid,a.,Pale yellow; ghastly pale; wan; gloomy; dismal.
91614,Lurid,a.,"Having a brown color tonged with red, as of flame seen through smoke."
91615,Lurid,a.,"Of a color tinged with purple, yellow, and gray."
91622,Lurry,n.,"A confused heap; a throng, as of persons; a jumble, as of sounds."
91690,Lusty,superl.,Exhibiting lust or vigor; stout; strong; vigorous; robust; healthful; able of body.
91691,Lusty,superl.,Beautiful; handsome; pleasant.
91692,Lusty,superl.,"Of large size; big. [Obs.] "" Three lusty vessels."" Evelyn. Hence, sometimes, pregnant."
91693,Lusty,superl.,Lustful; lascivious.
91701,Luted,imp. & p. p.,of Lute
91716,Luter,n.,One who plays on a lute.
91717,Luter,n.,One who applies lute.
91772,Lycea,pl. ,of Lyceum
91777,Lyche,a.,Like.
91791,Lyden,n.,See Leden.
91801,Lying,p. pr. & vb. n.,"of Lie, to tell a falsehood."
91802,Lying,p. pr. & vb. n.,"of Lie, to be supported horizontally."
91806,Lyken,v. t.,To please; -- chiefly used impersonally.
91811,Lymph,n.,"A spring of water; hence, water, or a pure, transparent liquid like water."
91812,Lymph,n.,"An alkaline colorless fluid, contained in the lymphatic vessels, coagulable like blood, but free from red blood corpuscles. It is absorbed from the various tissues and organs of the body, and is finally discharged by the thoracic and right lymphatic ducts into the great veins near the heart."
91813,Lymph,n.,"A fibrinous material exuded from the blood vessels in inflammation. In the process of healing it is either absorbed, or is converted into connective tissue binding the inflamed surfaces together."
91834,Lynch,v. t.,"To inflict punishment upon, especially death, without the forms of law, as when a mob captures and hangs a suspected person. See Lynch law."
91837,Lynde,n.,Alt. of Lynden
91854,Lyric,a.,Alt. of Lyrical
91857,Lyric,n.,A lyric poem; a lyrical composition.
91858,Lyric,n.,A composer of lyric poems.
91859,Lyric,n.,A verse of the kind usually employed in lyric poetry; -- used chiefly in the plural.
91860,Lyric,n.,The words of a song.
91863,Lyrid,n.,One of the group of shooting stars which come into the air in certain years on or about the 19th of April; -- so called because the apparent path among the stars the stars if produced back wards crosses the constellation Lyra.
91864,Lyrie,n.,"A European fish (Peristethus cataphractum), having the body covered with bony plates, and having three spines projecting in front of the nose; -- called also noble, pluck, pogge, sea poacher, and armed bullhead."
91869,Lysis,n.,"The resolution or favorable termination of a disease, coming on gradually and not marked by abrupt change."
91870,Lyssa,n.,Hydrophobia.
91872,Lythe,n.,"The European pollack; -- called also laith, and leet."
91873,Lythe,a.,Soft; flexible.
91877,Lytta,n.,"A fibrous and muscular band lying within the longitudinal axis of the tongue in many mammals, as the dog."
91889,Ma'am,n.,"Madam; my lady; -- a colloquial contraction of madam often used in direct address, and sometimes as an appellation."
91896,Mabby,n.,A spirituous liquor or drink distilled from potatoes; -- used in the Barbadoes.
91906,Macao,n.,A macaw.
91928,Macaw,n.,"Any parrot of the genus Sittace, or Macrocercus. About eighteen species are known, all of them American. They are large and have a very long tail, a strong hooked bill, and a naked space around the eyes. The voice is harsh, and the colors are brilliant and strongly contrasted."
91934,Macco,n.,A gambling game in vogue in the eighteenth century.
91946,Macer,n.,A mace bearer; an officer of a court.
91991,Macho,n.,"The striped mullet of California (Mugil cephalus, / Mexicanus)."
92002,Macle,n.,Chiastolite; -- so called from the tessellated appearance of a cross section. See Chiastolite.
92003,Macle,n.,A crystal having a similar tessellated appearance.
92004,Macle,n.,A twin crystal.
92093,Madam,n.,"A gentlewoman; -- an appellation or courteous form of address given to a lady, especially an elderly or a married lady; -- much used in the address, at the beginning of a letter, to a woman. The corresponding word in addressing a man is Sir."
92127,Madge,n.,The barn owl.
92128,Madge,n.,The magpie.
92131,Madia,n.,"A genus of composite plants, of which one species (Madia sativa) is cultivated for the oil yielded from its seeds by pressure. This oil is sometimes used instead of olive oil for the table."
92132,Madid,a.,"Wet; moist; as, a madid eye."
92135,Madly,a.,In a mad manner; without reason or understanding; wildly.
92208,Magic,a.,"A comprehensive name for all of the pretended arts which claim to produce effects by the assistance of supernatural beings, or departed spirits, or by a mastery of secret forces in nature attained by a study of occult science, including enchantment, conjuration, witchcraft, sorcery, necromancy, incantation, etc."
92209,Magic,a.,Alt. of Magical
92234,-ties,pl. ,of Magistrality
92241,Magma,n.,Any crude mixture of mineral or organic matters in the state of a thin paste.
92242,Magma,n.,"A thick residuum obtained from certain substances after the fluid parts are expressed from them; the grounds which remain after treating a substance with any menstruum, as water or alcohol."
92243,Magma,n.,A salve or confection of thick consistency.
92244,Magma,n.,"The molten matter within the earth, the source of the material of lava flows, dikes of eruptive rocks, etc."
92245,Magma,n.,The glassy base of an eruptive rock.
92246,Magma,n.,"The amorphous or homogenous matrix or ground mass, as distinguished from well-defined crystals; as, the magma of porphyry."
92337,Magot,n.,The Barbary ape.
92351,Mahdi,n.,"Among Mohammedans, the last imam or leader of the faithful. The Sunni, the largest sect of the Mohammedans, believe that he is yet to appear."
92353,Mahoe,n.,"A name given to several malvaceous trees (species of Hibiscus, Ochroma, etc.), and to their strong fibrous inner bark, which is used for strings and cordage."
92383,Maian,n.,"Any spider crab of the genus Maia, or family Maiadae."
92469,Maine,n.,One of the New England States.
92485,Mains,n.,The farm attached to a mansion house.
92515,Maize,n.,"A large species of American grass of the genus Zea (Z. Mays), widely cultivated as a forage and food plant; Indian corn. Also, its seed, growing on cobs, and used as food for men animals."
92526,Major,a.,"Greater in number, quantity, or extent; as, the major part of the assembly; the major part of the revenue; the major part of the territory."
92527,Major,a.,Of greater dignity; more important.
92528,Major,a.,Of full legal age.
92529,Major,a.,"Greater by a semitone, either in interval or in difference of pitch from another tone."
92530,Major,a.,An officer next in rank above a captain and next below a lieutenant colonel; the lowest field officer.
92531,Major,a.,A person of full age.
92532,Major,a.,"That premise which contains the major term. It its the first proposition of a regular syllogism; as: No unholy person is qualified for happiness in heaven [the major]. Every man in his natural state is unholy [minor]. Therefore, no man in his natural state is qualified for happiness in heaven [conclusion or inference]."
92533,Major,a.,A mayor.
92584,Maked,p. p.,Made.
92589,Maker,n.,"One who makes, forms, or molds; a manufacturer; specifically, the Creator."
92590,Maker,n.,The person who makes a promissory note.
92591,Maker,n.,One who writes verses; a poet.
92652,Malar,a.,"Of or pertaining to the region of the cheek bone, or to the malar bone; jugal."
92653,Malar,n.,"The cheek bone, which forms a part of the lower edge of the orbit."
92663,Malax,v. t.,Alt. of Malaxate
92667,Malay,n.,One of a race of a brown or copper complexion in the Malay Peninsula and the western islands of the Indian Archipelago.
92668,Malay,a.,Alt. of Malayan
92678,Male-,,See Mal-.
92714,Maleo,n.,"A bird of Celebes (megacephalon maleo), allied to the brush turkey. It makes mounds in which to lay its eggs."
92718,Malet,n.,A little bag or budget.
92730,Malic,a.,"Pertaining to, or obtained from, apples; as, malic acid."
