,word,pos,definition
3554,Agree,v. i.,"To harmonize in opinion, statement, or action; to be in unison or concord; to be or become united or consistent; to concur; as, all parties agree in the expediency of the law."
3555,Agree,v. i.,"To yield assent; to accede; -- followed by to; as, to agree to an offer, or to opinion."
3556,Agree,v. i.,To make a stipulation by way of settling differences or determining a price; to exchange promises; to come to terms or to a common resolve; to promise.
3557,Agree,v. i.,"To be conformable; to resemble; to coincide; to correspond; as, the picture does not agree with the original; the two scales agree exactly."
3558,Agree,v. i.,"To suit or be adapted in its effects; to do well; as, the same food does not agree with every constitution."
3559,Agree,v. i.,"To correspond in gender, number, case, or person."
3560,Agree,v. t.,To make harmonious; to reconcile or make friends.
3561,Agree,v. t.,"To admit, or come to one mind concerning; to settle; to arrange; as, to agree the fact; to agree differences."
3593,Agrin,adv. & a.,In the act of grinning.
3599,Agrom,n.,"A disease occurring in Bengal and other parts of the East Indies, in which the tongue chaps and cleaves."
3623,Agued,imp. & p. p.,of Ague
3630,Agush,adv. & a.,In a gushing state.
3635,Ahead,adv.,In or to the front; in advance; onward.
3636,Ahead,adv.,Headlong; without restraint.
3637,Aheap,adv.,In a heap; huddled together.
3641,Ahigh,adv.,On high.
3642,Ahold,adv.,"Near the wind; as, to lay a ship ahold."
3647,Ahull,adv.,"With the sails furled, and the helm lashed alee; -- applied to ships in a storm. See Hull, n."
3654,Aided,imp. & p. p.,of Aid
3666,Aider,n.,"One who, or that which, aids."
3672,Aigre,a.,Sour.
3684,Ailed,imp. & p. p.,of Ail
3694,Aimed,imp. & p. p.,of Aim
3704,Aimer,n.,"One who aims, directs, or points."
3707,Ain't,,A contraction for are not and am not; also used for is not. [Colloq. or illiterate speech]. See An't.
3725,Aired,imp. & p. p.,of Air
3743,Airer,n.,One who exposes to the air.
3744,Airer,n.,A frame on which clothes are aired or dried.
3783,Aisle,n.,"A lateral division of a building, separated from the middle part, called the nave, by a row of columns or piers, which support the roof or an upper wall containing windows, called the clearstory wall."
3784,Aisle,n.,"Improperly used also for the have; -- as in the phrases, a church with three aisles, the middle aisle."
3785,Aisle,n.,"Also (perhaps from confusion with alley), a passage into which the pews of a church open."
3790,Aitch,n.,The letter h or H.
3798,Akene,n.,Same as Achene.
3805,Aknee,adv.,On the knee.
3806,Aknow,,Earlier form of Acknow.
3822,Alack,interj.,An exclamation expressive of sorrow.
3838,Aland,adv.,On land; to the land; ashore.
3843,Alarm,n.,"A summons to arms, as on the approach of an enemy."
3844,Alarm,n.,Any sound or information intended to give notice of approaching danger; a warning sound to arouse attention; a warning of danger.
3845,Alarm,n.,A sudden attack; disturbance; broil.
3846,Alarm,n.,"Sudden surprise with fear or terror excited by apprehension of danger; in the military use, commonly, sudden apprehension of being attacked by surprise."
3847,Alarm,n.,"A mechanical contrivance for awaking persons from sleep, or rousing their attention; an alarum."
3850,Alarm,v. t.,To call to arms for defense; to give notice to (any one) of approaching danger; to rouse to vigilance and action; to put on the alert.
3851,Alarm,v. t.,To keep in excitement; to disturb.
3852,Alarm,v. t.,To surprise with apprehension of danger; to fill with anxiety in regard to threatening evil; to excite with sudden fear.
3859,Alary,a.,"Of or pertaining to wings; also, wing-shaped."
3861,Alate,adv.,Lately; of late.
3862,Alate,a.,Alt. of Alated
3870,Alban,n.,A white crystalline resinous substance extracted from gutta-percha by the action of alcohol or ether.
3876,Albee,conj.,Although; albeit.
3904,Album,n.,"A white tablet on which anything was inscribed, as a list of names, etc."
3905,Album,n.,A register for visitors' names; a visitors' book.
3906,Album,n.,"A blank book, in which to insert autographs sketches, memorial writing of friends, photographs, etc."
3931,Albyn,n.,Scotland; esp. the Highlands of Scotland.
4005,Alday,adv.,Continually.
4009,Alder,n.,"A tree, usually growing in moist land, and belonging to the genus Alnus. The wood is used by turners, etc.; the bark by dyers and tanners. In the U. S. the species of alder are usually shrubs or small trees."
4010,Alder,a.,Alt. of Aller
4011,Aller,a.,"Of all; -- used in composition; as, alderbest, best of all, alderwisest, wisest of all."
4031,Aleak,adv. & a.,In a leaking condition.
4059,Alert,a.,Watchful; vigilant; active in vigilance.
4060,Alert,a.,Brisk; nimble; moving with celerity.
4061,Alert,n.,"An alarm from a real or threatened attack; a sudden attack; also, a bugle sound to give warning."
4102,Alfet,n.,A caldron of boiling water into which an accused person plunged his forearm as a test of innocence or guilt.
4106,Algae,pl. ,of Alga
4108,Algal,a.,"Pertaining to, or like, algae."
4130,Algid,a.,Cold; chilly.
4136,Algol,n.,"A fixed star, in Medusa's head, in the constellation Perseus, remarkable for its periodic variation in brightness."
4142,Algor,n.,Cold; chilliness.
4148,Algum,n.,Same as Almug (and etymologically preferable).
4153,Alias,adv.,"Otherwise; otherwise called; -- a term used in legal proceedings to connect the different names of any one who has gone by two or more, and whose true name is for any cause doubtful; as, Smith, alias Simpson."
4154,Alias,adv.,At another time.
4156,Alias,n.,A second or further writ which is issued after a first writ has expired without effect.
4157,Alias,n.,Another name; an assumed name.
4158,Alibi,n.,"The plea or mode of defense under which a person on trial for a crime proves or attempts to prove that he was in another place when the alleged act was committed; as, to set up an alibi; to prove an alibi."
4163,Alien,a.,"Not belonging to the same country, land, or government, or to the citizens or subjects thereof; foreign; as, alien subjects, enemies, property, shores."
4164,Alien,a.,"Wholly different in nature; foreign; adverse; inconsistent (with); incongruous; -- followed by from or sometimes by to; as, principles alien from our religion."
4165,Alien,n.,"A foreigner; one owing allegiance, or belonging, to another country; a foreign-born resident of a country in which he does not possess the privileges of a citizen. Hence, a stranger. See Alienage."
4166,Alien,n.,"One excluded from certain privileges; one alienated or estranged; as, aliens from God's mercies."
4167,Alien,v. t.,"To alienate; to estrange; to transfer, as property or ownership."
4191,Alife,adv.,On my life; dearly.
4202,Align,v. t.,To adjust or form to a line; to range or form in line; to bring into line; to aline.
4203,Align,v. t.,To form in line; to fall into line.
4206,Alike,a.,Having resemblance or similitude; similar; without difference.
4207,Alike,adv.,"In the same manner, form, or degree; in common; equally; as, we are all alike concerned in religion."
4224,Aline,v. t.,To range or place in a line; to bring into line; to align.
4234,Alish,a.,"Like ale; as, an alish taste."
4241,Alive,a.,"Having life, in opposition to dead; living; being in a state in which the organs perform their functions; as, an animal or a plant which is alive."
4242,Alive,a.,"In a state of action; in force or operation; unextinguished; unexpired; existent; as, to keep the fire alive; to keep the affections alive."
4243,Alive,a.,Exhibiting the activity and motion of many living beings; swarming; thronged.
4244,Alive,a.,Sprightly; lively; brisk.
4245,Alive,a.,"Having susceptibility; easily impressed; having lively feelings, as opposed to apathy; sensitive."
4246,Alive,a.,Of all living (by way of emphasis).
4298,Allah,n.,"The name of the Supreme Being, in use among the Arabs and the Mohammedans generally."
4311,Allay,v. t.,"To make quiet or put at rest; to pacify or appease; to quell; to calm; as, to allay popular excitement; to allay the tumult of the passions."
4312,Allay,v. t.,"To alleviate; to abate; to mitigate; as, to allay the severity of affliction or the bitterness of adversity."
4313,Allay,v. t.,To diminish in strength; to abate; to subside.
4314,Allay,n.,Alleviation; abatement; check.
4315,Allay,n.,Alloy.
4316,Allay,v. t.,To mix (metals); to mix with a baser metal; to alloy; to deteriorate.
4367,Aller,a.,"Same as Alder, of all."
